iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -2.20527e+10 0 0 0 22.7545 0 0 -22.5538 0 0 0 0 0 0.0291221 0 0 0 0 0 0 0 0 0 0 0 0 0
100 -200.852 0 0 0 3.48935 100 39 -9.40205 100 70 0 0 0 -5.09197 100 31 0 0 0 0 0 0 0 0 0 3800 2960
200 -187.565 0 0 0 2.17525 100 28 -10.939 100 67 0 0 0 -3.54403 100 24 0 0 0 0 0 0 0 0 0 3800 3410
300 -183.689 0 0 0 1.24624 100 35 -8.31235 100 74 0 0 0 -2.92006 100 27 0 0 0 0 0 0 0 0 0 3800 3488
400 -182.695 0 0 0 1.3332 100 31 -4.31148 100 65 0 0 0 -2.97466 100 19 0 0 0 0 0 0 0 0 0 3800 3463
500 -182.608 0 0 0 1.00638 100 23 -4.31073 100 65 0 0 0 -2.62769 100 28 0 0 0 0 0 0 0 0 0 3800 3480
600 -183.62 0 0 0 0.884443 100 30 -15.5481 100 71 0 0 0 -2.28781 100 19 0 0 0 0 0 0 0 0 0 3800 3441
700 -184.251 0 0 0 1.77488 100 19 -1.526 100 69 0 0 0 -2.91475 100 27 0 0 0 0 0 0 0 0 0 3800 3485
800 -183.141 0 0 0 1.6565 100 35 -3.26239 100 69 0 0 0 -2.97178 100 27 0 0 0 0 0 0 0 0 0 3800 3441
900 -186.877 0 0 0 0.267439 100 25 -2.69079 100 71 0 0 0 -2.38398 100 31 0 0 0 0 0 0 0 0 0 3800 3463
1000 -181.947 0 0 0 0.9788 100 18 -18.5217 100 76 0 0 0 -2.67045 100 26 0 0 0 0 0 0 0 0 0 3800 3467
1100 -182.604 0 0 0 0.695686 100 21 -4.04504 100 70 0 0 0 -2.42692 100 30 0 0 0 0 0 0 0 0 0 3800 3426
1200 -184.982 0 0 0 0.566495 100 33 -7.25296 100 70 0 0 0 -2.56788 100 25 0 0 0 0 0 0 0 0 0 3800 3491
1300 -184.335 0 0 0 1.28873 100 23 -1.07555 100 73 0 0 0 -2.96523 100 24 0 0 0 0 0 0 0 0 0 3800 3440
1400 -185.251 0 0 0 0.83553 100 31 0.125802 100 64 0 0 0 -2.4666 100 24 0 0 0 0 0 0 0 0 0 3800 3465
1500 -182.374 0 0 0 1.29034 100 34 -12.2523 100 71 0 0 0 -2.59301 100 26 0 0 0 0 0 0 0 0 0 3800 3489
1600 -183.134 0 0 0 1.68666 100 30 -7.97505 100 61 0 0 0 -3.0826 100 21 0 0 0 0 0 0 0 0 0 3800 3460
1700 -180.555 0 0 0 1.30173 100 23 -9.20236 100 66 0 0 0 -2.74334 100 26 0 0 0 0 0 0 0 0 0 3800 3481
1800 -181.688 0 0 0 1.35865 100 23 -11.365 100 65 0 0 0 -2.73913 100 19 0 0 0 0 0 0 0 0 0 3800 3446
1900 -184.201 0 0 0 1.54131 100 31 -7.16189 100 74 0 0 0 -2.8713 100 22 0 0 0 0 0 0 0 0 0 3800 3450
2000 -185.763 0 0 0 0.134926 100 26 -14.4882 100 63 0 0 0 -2.37341 100 28 0 0 0 0 0 0 0 0 0 3800 3466
2100 -182.399 0 0 0 0.912643 100 22 -23.595 100 72 0 0 0 -2.66022 100 28 0 0 0 0 0 0 0 0 0 3800 3431
2200 -186.315 0 0 0 2.28524 100 30 -1.27509 100 72 0 0 0 -3.4298 100 18 0 0 0 0 0 0 0 0 0 3800 3454
2300 -183.614 0 0 0 1.98498 100 26 -7.10929 100 67 0 0 0 -3.23344 100 28 0 0 0 0 0 0 0 0 0 3800 3451
2400 -183.304 0 0 0 0.806984 100 34 -11.0854 100 72 0 0 0 -2.25341 100 37 0 0 0 0 0 0 0 0 0 3800 3457
2500 -182.206 0 0 0 1.44781 100 35 -7.95968 100 67 0 0 0 -2.6651 100 25 0 0 0 0 0 0 0 0 0 3800 3452
2600 -184.351 0 0 0 1.72247 100 31 -10.4053 100 66 0 0 0 -3.20153 100 31 0 0 0 0 0 0 0 0 0 3800 3469
2700 -183.955 0 0 0 1.02375 100 22 -13.8602 100 64 0 0 0 -2.45343 100 23 0 0 0 0 0 0 0 0 0 3800 3458
2800 -182.793 0 0 0 0.533217 100 28 -4.76269 100 69 0 0 0 -2.39662 100 30 0 0 0 0 0 0 0 0 0 3800 3474
2900 -182.733 0 0 0 1.03183 100 26 -8.90213 100 74 0 0 0 -2.75574 100 29 0 0 0 0 0 0 0 0 0 3800 3464
3000 -183.333 0 0 0 1.29438 100 24 -3.64516 100 70 0 0 0 -2.87235 100 18 0 0 0 0 0 0 0 0 0 3800 3453
3100 -183.629 0 0 0 0.942444 100 29 -5.97349 100 59 0 0 0 -2.39444 100 24 0 0 0 0 0 0 0 0 0 3800 3459
3200 -184.035 0 0 0 1.36475 100 35 -3.07096 100 74 0 0 0 -2.87098 100 29 0 0 0 0 0 0 0 0 0 3800 3450
3300 -185.453 0 0 0 0.418092 100 21 -14.5345 100 76 0 0 0 -2.09502 100 33 0 0 0 0 0 0 0 0 0 3800 3482
3400 -184.903 0 0 0 1.23939 100 26 -16.4281 100 71 0 0 0 -2.66456 100 35 0 0 0 0 0 0 0 0 0 3800 3477
3500 -184.797 0 0 0 1.11054 100 23 2.17728 100 69 0 0 0 -2.94994 100 27 0 0 0 0 0 0 0 0 0 3800 3420
3600 -183.186 0 0 0 1.66706 100 31 -4.23725 100 66 0 0 0 -2.96486 100 19 0 0 0 0 0 0 0 0 0 3800 3452
3700 -180.901 0 0 0 0.894874 100 28 -12.4414 100 74 0 0 0 -2.47661 100 28 0 0 0 0 0 0 0 0 0 3800 3481
3800 -187.592 0 0 0 1.00108 100 27 -0.56826 100 69 0 0 0 -3.0752 100 24 0 0 0 0 0 0 0 0 0 3800 3427
3900 -182.746 0 0 0 0.718537 100 23 -13.7868 100 71 0 0 0 -2.18142 100 26 0 0 0 0 0 0 0 0 0 3800 3482
4000 -185.091 0 0 0 1.90383 100 29 0.689546 100 71 0 0 0 -3.3758 100 19 0 0 0 0 0 0 0 0 0 3800 3452
4100 -182.095 0 0 0 1.38399 100 21 -12.8926 100 74 0 0 0 -2.75271 100 28 0 0 0 0 0 0 0 0 0 3800 3439
4200 -181.935 0 0 0 1.63019 100 23 -13.1251 100 69 0 0 0 -3.05991 100 27 0 0 0 0 0 0 0 0 0 3800 3459
4300 -182.376 0 0 0 1.44381 100 29 -3.97061 100 71 0 0 0 -2.93035 100 28 0 0 0 0 0 0 0 0 0 3800 3509
4400 -186.093 0 0 0 1.23671 100 37 -7.45452 100 71 0 0 0 -3.07063 100 29 0 0 0 0 0 0 0 0 0 3800 3434
4500 -182.383 0 0 0 1.56025 100 24 -9.0559 100 69 0 0 0 -2.93558 100 26 0 0 0 0 0 0 0 0 0 3800 3482
4600 -183.556 0 0 0 0.999897 100 23 -8.71026 100 70 0 0 0 -2.62956 100 31 0 0 0 0 0 0 0 0 0 3800 3419
4700 -182.406 0 0 0 1.07335 100 32 -7.26002 100 72 0 0 0 -2.56508 100 24 0 0 0 0 0 0 0 0 0 3800 3474
4800 -184.898 0 0 0 0.676914 100 29 1.7092 100 77 0 0 0 -2.58226 100 23 0 0 0 0 0 0 0 0 0 3800 3468
4900 -181.859 0 0 0 1.27588 100 26 -17.4688 100 69 0 0 0 -2.67815 100 19 0 0 0 0 0 0 0 0 0 3800 3454
5000 -184.929 0 0 0 0.998636 100 24 -7.51598 100 70 0 0 0 -2.22888 100 15 0 0 0 0 0 0 0 0 0 3800 3491
5100 -182.049 0 0 0 1.8474 100 39 -1.46554 100 69 0 0 0 -3.05204 100 27 0 0 0 0 0 0 0 0 0 3800 3489
5200 -188.975 0 0 0 2.79474 100 31 -2.00686 100 70 0 0 0 -4.11187 100 24 0 0 0 0 0 0 0 0 0 3800 3434
5300 -182.47 0 0 0 0.996656 100 22 -2.51819 100 81 0 0 0 -2.68795 100 26 0 0 0 0 0 0 0 0 0 3800 3462
5400 -182.154 0 0 0 1.36379 100 19 -10.9624 100 69 0 0 0 -2.75351 100 11 0 0 0 0 0 0 0 0 0 3800 3461
5500 -182.596 0 0 0 0.822385 100 30 -6.76155 100 70 0 0 0 -2.72014 100 25 0 0 0 0 0 0 0 0 0 3800 3416
5600 -183.907 0 0 0 1.65667 100 32 -3.75933 100 68 0 0 0 -2.81052 100 23 0 0 0 0 0 0 0 0 0 3800 3456
5700 -186.67 0 0 0 1.1942 100 30 7.60002 100 81 0 0 0 -2.82267 100 26 0 0 0 0 0 0 0 0 0 3800 3467
5800 -182.743 0 0 0 0.653112 100 27 -6.38276 100 67 0 0 0 -2.66147 100 28 0 0 0 0 0 0 0 0 0 3800 3450
5900 -183.261 0 0 0 0.780559 100 30 -8.63668 100 78 0 0 0 -2.27291 100 29 0 0 0 0 0 0 0 0 0 3800 3473
