iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -2954.14 -3.73804 0 0 0 0 0 0 0 0 0 0 0 3.13247 0 0 -11.5264 0 0 0 0 0 0 0 0 0 0
100 -182.295 -0.708133 100 36 0 0 0 0 0 0 0 0 0 -1.56798 100 31 -0.637165 100 37 0 0 0 0 0 0 0 0
200 -181.864 -1.24445 100 29 0 0 0 0 0 0 0 0 0 -1.67538 100 31 -1.34266 100 37 0 0 0 0 0 0 0 0
300 -181.062 -0.65215 100 31 0 0 0 0 0 0 0 0 0 -1.93925 100 25 -0.870426 100 25 0 0 0 0 0 0 0 0
400 -181.425 -0.649313 100 30 0 0 0 0 0 0 0 0 0 -1.69357 100 20 -0.576081 100 30 0 0 0 0 0 0 0 0
500 -182.505 -0.958116 100 34 0 0 0 0 0 0 0 0 0 -1.93946 100 28 -1.26883 100 36 0 0 0 0 0 0 0 0
600 -182.744 -0.518787 100 31 0 0 0 0 0 0 0 0 0 -2.21213 100 29 0.056199 100 34 0 0 0 0 0 0 0 0
700 -181.865 -0.157931 100 42 0 0 0 0 0 0 0 0 0 -2.10174 100 27 -0.324618 100 24 0 0 0 0 0 0 0 0
800 -181.147 -1.33332 100 28 0 0 0 0 0 0 0 0 0 -1.82529 100 27 -0.753472 100 30 0 0 0 0 0 0 0 0
900 -182.615 -0.0623193 100 36 0 0 0 0 0 0 0 0 0 -2.24018 100 28 -0.446721 100 42 0 0 0 0 0 0 0 0
1000 -180.878 -1.08096 100 36 0 0 0 0 0 0 0 0 0 -1.69495 100 29 -0.974546 100 43 0 0 0 0 0 0 0 0
1100 -181.037 -1.08805 100 28 0 0 0 0 0 0 0 0 0 -1.77424 100 34 -0.515634 100 26 0 0 0 0 0 0 0 0
1200 -184.809 -0.0675431 100 32 0 0 0 0 0 0 0 0 0 -1.5911 100 22 -0.889684 100 28 0 0 0 0 0 0 0 0
1300 -181.506 -0.225604 100 33 0 0 0 0 0 0 0 0 0 -1.96254 100 30 -0.671219 100 27 0 0 0 0 0 0 0 0
1400 -182.879 -0.109493 100 34 0 0 0 0 0 0 0 0 0 -2.29767 100 35 -0.0796711 100 29 0 0 0 0 0 0 0 0
1500 -180.956 -0.590179 100 32 0 0 0 0 0 0 0 0 0 -1.85299 100 23 -0.908063 100 29 0 0 0 0 0 0 0 0
1600 -181.299 -0.733883 100 32 0 0 0 0 0 0 0 0 0 -1.62591 100 26 -1.0016 100 20 0 0 0 0 0 0 0 0
1700 -181.936 -0.546043 100 36 0 0 0 0 0 0 0 0 0 -1.9852 100 29 -0.114889 100 33 0 0 0 0 0 0 0 0
1800 -182.804 -1.90815 100 40 0 0 0 0 0 0 0 0 0 -1.51266 100 31 -1.07348 100 32 0 0 0 0 0 0 0 0
1900 -182.762 -0.144379 100 29 0 0 0 0 0 0 0 0 0 -2.30521 100 29 -0.278172 100 32 0 0 0 0 0 0 0 0
2000 -181.17 -1.32811 100 23 0 0 0 0 0 0 0 0 0 -1.64925 100 32 -0.818371 100 22 0 0 0 0 0 0 0 0
2100 -182.9 -0.336322 100 27 0 0 0 0 0 0 0 0 0 -2.25798 100 31 0.0627991 100 40 0 0 0 0 0 0 0 0
2200 -180.884 -0.937839 100 32 0 0 0 0 0 0 0 0 0 -1.82185 100 22 -0.962976 100 29 0 0 0 0 0 0 0 0
2300 -181.643 -0.63893 100 41 0 0 0 0 0 0 0 0 0 -1.6635 100 27 -0.590185 100 27 0 0 0 0 0 0 0 0
